UE Data/MC(#bf{0-10%, All-Plane}, AbsEta1p0to2p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=-0.200#pm0.203, #Delta#sigma_{MC,Data}=-3.966#pm0.189
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta1p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.243#pm0.063, #Delta#sigma_{MC,Data}=-0.683#pm0.049
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta1p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-1.034#pm0.118, #Delta#sigma_{MC,Data}=-2.175#pm0.090
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta1p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.980#pm0.270, #Delta#sigma_{MC,Data}=-3.498#pm0.204
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta1p0to2p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=0.140#pm0.077, #Delta#sigma_{MC,Data}=-2.701#pm0.070
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta1p0to2p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=-0.044#pm0.138, #Delta#sigma_{MC,Data}=-6.630#pm0.122
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta1p0to2p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=-1.587#pm0.293, #Delta#sigma_{MC,Data}=-7.312#pm0.272
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta1p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.406#pm0.110, #Delta#sigma_{MC,Data}=-1.220#pm0.079
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta1p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-1.523#pm0.185, #Delta#sigma_{MC,Data}=-3.453#pm0.136
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta1p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-2.645#pm0.473, #Delta#sigma_{MC,Data}=-6.057#pm0.329
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta1p0to2p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-0.045#pm0.109, #Delta#sigma_{MC,Data}=-3.808#pm0.102
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta1p0to2p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-1.153#pm0.187, #Delta#sigma_{MC,Data}=-9.905#pm0.174
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta1p0to2p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-3.453#pm0.376, #Delta#sigma_{MC,Data}=-9.671#pm0.345
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta1p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.620#pm0.169, #Delta#sigma_{MC,Data}=-1.746#pm0.116
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta1p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-2.909#pm0.243, #Delta#sigma_{MC,Data}=-5.292#pm0.176
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta1p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-3.786#pm0.705, #Delta#sigma_{MC,Data}=-7.679#pm0.464
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to2p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=0.108#pm0.015, #Delta#sigma_{MC,Data}=-0.237#pm0.012
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to2p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=0.236#pm0.029, #Delta#sigma_{MC,Data}=-0.701#pm0.026
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to2p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=-0.053#pm0.055, #Delta#sigma_{MC,Data}=-0.959#pm0.050
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to2p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.041#pm0.016, #Delta#sigma_{MC,Data}=-0.109#pm0.013
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to2p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.056#pm0.026, #Delta#sigma_{MC,Data}=-0.371#pm0.022
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to2p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.205#pm0.069, #Delta#sigma_{MC,Data}=-0.794#pm0.055
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to2p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=0.138#pm0.021, #Delta#sigma_{MC,Data}=-0.526#pm0.019
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to2p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=0.249#pm0.037, #Delta#sigma_{MC,Data}=-1.566#pm0.033
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to2p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=-0.212#pm0.083, #Delta#sigma_{MC,Data}=-1.764#pm0.078
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to2p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.098#pm0.023, #Delta#sigma_{MC,Data}=-0.197#pm0.019
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to2p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.191#pm0.040, #Delta#sigma_{MC,Data}=-0.735#pm0.033
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to2p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.466#pm0.105, #Delta#sigma_{MC,Data}=-1.335#pm0.082
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to2p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=0.234#pm0.039, #Delta#sigma_{MC,Data}=-1.370#pm0.034
